NAME,TYPE,LOCATION,SUBSCRIPTION,RESOURCEGROUP,REPO(TAG)
vmaueqamexcas3,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas3-data,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas3-data2,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas3-data3,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
ppg-vmaueqamexcas,Microsoft.Compute/proximityPlacementGroups,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas1,Microsoft.Compute/virtualMachines,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas1/AzureDiskEncryptionForLinux,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas1/AzureMonitorLinuxAgent,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas1/AzurePolicyforLinux,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas1/Dynatrace,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas2,Microsoft.Compute/virtualMachines,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas2/AzureDiskEncryptionForLinux,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas2/AzureMonitorLinuxAgent,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas2/AzurePolicyforLinux,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas2/Dynatrace,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas3,Microsoft.Compute/virtualMachines,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas3/AzureDiskEncryptionForLinux,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas3/AzureMonitorLinuxAgent,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas3/AzurePolicyforLinux,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas3/Dynatrace,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
mi-qa-mp-cassandravm,Microsoft.ManagedIdentity/userAssignedIdentities,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
asg-aue-qa-mex-cas,Microsoft.Network/applicationSecurityGroups,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
nic-vmaueqamexcas1,Microsoft.Network/networkInterfaces,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
nic-vmaueqamexcas2,Microsoft.Network/networkInterfaces,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
nic-vmaueqamexcas3,Microsoft.Network/networkInterfaces,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
aks-aueqamex02a-21826423-vmss,Microsoft.Compute/virtualMachineScaleSets,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-005,
aks-aueqamex02b-26541272-vmss,Microsoft.Compute/virtualMachineScaleSets,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-005,
aks-aue-qa-mex-02-agentpool,Microsoft.ManagedIdentity/userAssignedIdentities,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-005,
azurepolicy-aks-aue-qa-mex-02,Microsoft.ManagedIdentity/userAssignedIdentities,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-005,
omsagent-aks-aue-qa-mex-02,Microsoft.ManagedIdentity/userAssignedIdentities,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-005,
kubernetes-internal,Microsoft.Network/loadBalancers,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-005,
kube-apiserver.nic.04abbb54-c256-4fbf-8e30-aaf185bb45a1,Microsoft.Network/networkInterfaces,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-005,
aks-agentpool-23040589-nsg,Microsoft.Network/networkSecurityGroups,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-005,
kube-apiserver,Microsoft.Network/privateEndpoints,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-005,
f04561e4523fb4ae3a8a70e,Microsoft.Storage/storageAccounts,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-005,
PCIAPSYDMSS01-OSdisk-00,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS05-datadisk-01,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS05-OSdisk-00,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS06-datadisk-01,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS06-OSdisk-00,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS07-datadisk-01,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS07-OSdisk-00,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDDFS01-datadisk-01,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDDFS01-OSdisk-00,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDSQL09-datadisk-01,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDSQL09-datadisk-02,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDSQL09-datadisk-03,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDSQL09-OSdisk-00,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS01,Microsoft.Compute/virtualMachines,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS01/enablevmaccess,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS01/MDE.Windows,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS01/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS01/Microsoft.Powershell.DSC,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS01/MicrosoftMonitoringAgent,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS05,Microsoft.Compute/virtualMachines,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS05/MDE.Windows,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS05/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS05/Microsoft.Powershell.DSC,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS05/MicrosoftMonitoringAgent,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS06,Microsoft.Compute/virtualMachines,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS06/MDE.Windows,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS06/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS06/Microsoft.Powershell.DSC,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS06/MicrosoftMonitoringAgent,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS07,Microsoft.Compute/virtualMachines,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS07/enablevmaccess,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS07/MDE.Windows,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS07/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS07/Microsoft.Powershell.DSC,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIAPSYDMSS07/MicrosoftMonitoringAgent,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDDFS01,Microsoft.Compute/virtualMachines,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDDFS01/AzurePolicyforWindows,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDDFS01/enablevmaccess,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDDFS01/MDE.Windows,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDDFS01/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDDFS01/Microsoft.Powershell.DSC,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDDFS01/MicrosoftMonitoringAgent,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDSQL09,Microsoft.Compute/virtualMachines,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
pcidbsydsql09/AzureBackupWindowsWorkload,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDSQL09/enablevmaccess,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
PCIDBSYDSQL09/MDE.Windows,Microsoft.Compute/virtualMachines/extensions,australiaeast,AU-PREPROD-SUB001,rg-aue-uat-mxp-frm-01,
